municipio,uf,regiao,qtd_beneficiarios,valor,valor_medio
RIO DE JANEIRO,RJ,SUDESTE,575085,369688762.0,642.84
FORTALEZA,CE,NORDESTE,343346,221155689.0,644.12
SALVADOR,BA,NORDESTE,298759,187523199.0,627.67
MANAUS,AM,NORTE,274652,188077509.0,684.78
BELÉM,PA,NORTE,190133,119585743.0,628.96
RECIFE,PE,NORDESTE,147155,93533147.0,635.61
BELO HORIZONTE,MG,SUDESTE,134286,85749693.0,638.56
NOVA IGUAÇU,RJ,SUDESTE,125142,83194445.0,664.8
DUQUE DE CAXIAS,RJ,SUDESTE,123099,80033713.0,650.16
SÃO LUÍS,MA,NORDESTE,121532,80704262.0,664.06
GUARULHOS,SP,SUDESTE,110393,73162043.0,662.74
MACEIÓ,AL,NORDESTE,108634,71943528.0,662.26
TERESINA,PI,NORDESTE,103470,67295069.0,650.38
JABOATÃO DOS GUARARAPES,PE,NORDESTE,98542,63067561.0,640.01
JOÃO PESSOA,PB,NORDESTE,88133,56827462.0,644.79
SÃO GONÇALO,RJ,SUDESTE,82134,53123376.0,646.79
NATAL,RN,NORDESTE,78453,50350973.0,641.8
BELFORD ROXO,RJ,SUDESTE,77838,49245602.0,632.67
FEIRA DE SANTANA,BA,NORDESTE,74448,48140167.0,646.63
CAMPOS DOS GOYTACAZES,RJ,SUDESTE,63895,41221500.0,645.14
CAUCAIA,CE,NORDESTE,63663,42169770.0,662.39
ARACAJU,SE,NORDESTE,62307,39429569.0,632.83
CAMPINAS,SP,SUDESTE,61773,40173065.0,650.33
OLINDA,PE,NORDESTE,59164,37520398.0,634.18
MACAPÁ,AP,NORTE,55745,38261134.0,686.36
VITÓRIA DA CONQUISTA,BA,NORDESTE,51449,32997117.0,641.36
CARUARU,PE,NORDESTE,50835,33457769.0,658.16
PETROLINA,PE,NORDESTE,50774,32885775.0,647.69
SANTARÉM,PA,NORTE,49408,34937880.0,707.13
ANANINDEUA,PA,NORTE,47608,30705703.0,644.97
CONTAGEM,MG,SUDESTE,46761,30169927.0,645.19
PAULISTA,PE,NORDESTE,46153,29740449.0,644.39
CAMAÇARI,BA,NORDESTE,45447,29837457.0,656.53
RIO BRANCO,AC,NORTE,44109,29189005.0,661.75
PORTO VELHO,RO,NORTE,43557,29247755.0,671.48
SERRA,ES,SUDESTE,42489,27939686.0,657.57
SÃO JOÃO DE MERITI,RJ,SUDESTE,40885,26961044.0,659.44
BETIM,MG,SUDESTE,40088,25676186.0,640.5
ABAETETUBA,PA,NORTE,39250,25236925.0,642.98
JUAZEIRO,BA,NORDESTE,38511,25951293.0,673.87
CAMPINA GRANDE,PB,NORDESTE,36826,23857625.0,647.85
CARIACICA,ES,SUDESTE,36633,24408417.0,666.3
NITERÓI,RJ,SUDESTE,36579,23604792.0,645.31
ITABORAÍ,RJ,SUDESTE,36403,23476802.0,644.91
MAGÉ,RJ,SUDESTE,35451,22881851.0,645.45
MOSSORÓ,RN,NORDESTE,34764,21369915.0,614.71
JUAZEIRO DO NORTE,CE,NORDESTE,34692,23021563.0,663.6
NOSSA SENHORA DO SOCORRO,SE,NORDESTE,34612,21825506.0,630.58
MARACANAÚ,CE,NORDESTE,33954,22141943.0,652.12
BOA VISTA,RR,NORTE,32935,23781149.0,722.06
